date,recipe_id,no_hits,no_sessions,name,description,preparationtime,difficulty,steps,instructions,tags
2023-01-31,1400,4,4,Portobello Steaks with Avocado Chimichurri,"Our vegan Portobello Steaks with Avocado Chimichurri are a healthy alternative to meat and taste just as delicious! The large mushrooms take on a delicious, roasted flavor when grilled with our balsamic vinegar, cumin and paprika marinade.",30,easy,8,"['Prepare the grill with direct, medium heat.'
 'Clean the mushrooms and remove their stems.'
 'In a bowl, combine the balsamic vinegar, 1⁄2 of the olive oil, the cumin, salt, pepper and paprika powder. Completely brush the mushrooms with the mixture and let marinate for 10 minutes.'
 'In the meantime, peel and chop the garlic and shallot. In addition, cut the avocado in half, remove the pit and cut into small cubes.'
 'Pluck the parsley leaves from their stems.'
 'In a blender or food processor, combine the garlic, shallot, parsley, lemon juice, salt, pepper and remaining oil and purée until smooth. Fold in the avocado pieces.'
 'Grill the mushrooms for approx. 5 minutes on each side until soft.'
 'Serve the mushrooms with the avocado chimichurri and sprinkle with crushed red pepper.']","low_carb,dinner,lunch,vegetables,gluten_free,lactose_free,vegan,vegetarian,700kcal,easy"
2023-01-10,353,401,342,Peanut Butter Cookies,"These Peanut Butter Cookies are the perfect snack between meals and will keep the cravings at bay! With their complex carbohydrates and fiber content, they'll keep you feeling full and provide your body with plenty of protein. If you'd prefer to avoid protein powder, you can simply substitute it with flour.",17,easy,5,"['Preheat the oven to 180°C / 350°F.'
 'Peel the bananas and use a fork to mash them. Finely chop the chocolate.'
 'Using a mixer, combine all ingredients together.'
 'Create small dough balls by hand, place each onto a baking sheet covered with baking paper and then flatten.'
 'Bake the cookies for approx. 12 minutes until golden-brown.']","low_fat,breakfast,snack,high_fiber,vegetarian,dessert,baking,on_the_go,sweet,fruits,50kcal,easy,few_ingredients"
2023-01-22,556,8,8,Asparagus & Parma Ham Salad,"This delicious Asparagus & Parma Ham Salad gets its fantastic taste from the combination of Parma ham, Parmesan and pine nuts, and fits great with green asparagus! Did you know that asparagus has a diuretic effect because of its high potassium content? That means it helps to flush out excess fluid from your tissue.",20,easy,7,"['Bring a pot of water to a boil.'
 'In the meantime, trim off the ends of the asparagus and then cut the spears into bite-sized pieces.'
 'Place the asparagus pieces into the water and simmer for approx. 8 minutes.'
 'While the asparagus cooks, roast the pine nuts in a pan without oil until golden-brown. Quarter the tomatoes and cut the ham into small pieces.'
 'For the dressing, cut the green onion into rings and mix with the olive oil, white wine vinegar, salt and pepper.'
 'Drain the asparagus and briefly cool.'
 'Divide the arugula onto plates, top with the tomatoes, pine nuts, asparagus, ham and Parmesan, and then drizzle with the dressing.']","low_carb,dinner,lunch,gluten_free,lactose_free,sugar_free,salad,on_the_go,meat,vegetables,200kcal,easy"
2023-01-21,921,51,48,Protein Shake with Yogurt & Berries,"For our Protein Shake with Yogurt & Berries, you can choose to use pasteurized or fresh egg whites. However, pasteurized egg whites have been gently heated to free them from germs and pathogens. This is particularly helpful for recipes using raw egg whites!",9,easy,4,"['Soak the flaxseed in the water for approx. 5 minutes.'
 'Purée the egg whites, plain yogurt and flaxseed in a blender.'
 'Add the powdered erythritol, berries and ground vanilla and purée once more until creamy.'
 'Transfer into a glass and drink immediately.']","low_carb,low_fat,low_calorie,breakfast,vegetarian,gluten_free,sugar_free,shake,on_the_go,fruits,100kcal,easy,fast"
2023-01-27,1287,15,15,Tarte Flambée with Goat Cheese & Kale,"This delicious Tarte Flambée with Goat Cheese & Kale proves that kale truly goes with everything! For this recipe, add the kale in the last 8 minutes so it doesn't burn. Tip: For an extra sweet kick, you can drizzle some honey over it before placing in the oven.",33,easy,11,"['Preheat the oven to 360°F (180°C).'
 'Thinly roll the pizza dough out onto a baking sheet lined with baking paper.'
 'Mix together the goat cheese and crème fraîche, and season with salt and pepper.'
 'Slice the beets and then cut the slices in half.'
 'Remove the stems from the kale and rip the leaves into pieces.'
 'Wash and spin-dry the leaves.'
 'Peel and slice the onion, and pluck the thyme leaves from the stem.'
 'Use a spoon to spread the goat cheese and crème fraîche mixture out onto the pizza dough. Top with thyme leaves.'
 'Top the dough with the beet and onion slices. Use your hands to crumble the walnuts over the tarte flambée.'
 'Bake the tarte flambée on the middle rack for approx. 10 minutes.'
 'Top with kale and then bake for an additional 8 minutes.']","dinner,lunch,vegetarian,sugar_free,vegetables,500kcal,easy"
2023-01-28,1439,31,27,Hummus & Spinach Wrap,"If you're short on time, our Hummus & Spinach Wrap is a great choice! You'll have it rolled up in just 10 minutes and, thanks to the healthy ingredients, it delivers plenty of nutrients. The spiciness of the garden cress can be attributed to its glucosinolates. The essential oils in the cress have both antibacterial and anti-inflammatory effects.",10,easy,3,"['Cut the cucumber into thin sticks, and remove the stems from the tomato and cut into small cubes. In addition, cut the avocado in half, remove the pit and cut the flesh into thin strips.'
 'Spread the tortilla with the hummus, top with cucumber, tomato, avocado, spinach and garden cress.'
 'Season with salt and pepper, and roll up the tortilla.']","high_fiber,dinner,lunch,vegetables,vegan,vegetarian,lactose_free,300kcal,easy,fast"
2023-01-27,1375,18,18,Grilled Romaine Lettuce,"Lettuce on the grill? Not only is it possible, it's also really delicious! Our Grilled Romaine Lettuce takes on an intense flavor when roasted. Together with a creamy dressing made from avocado, buttermilk, lime, cumin and fresh cherry tomatoes, you'll have a delicious vegetarian grill recipe ready in an instant!",13,easy,6,"['Prepare the grill with direct, medium heat.'
 'For the dressing, remove the pit from the avocado, scrape out the flesh and combine in a bowl with the buttermilk, lemon juice, olive oil, cumin, salt and pepper. Use a fork to mash and mix into a smooth dressing.'
 'Cut the romaine lettuce in half lengthwise, leaving the stem intact. Brush the cut sides of the lettuce with the sunflower oil.'
 'Place the lettuce halves cut-side down on the grill grate and grill for approx. 3 minutes until golden-brown.'
 'In the meantime, cut the cherry tomatoes in half.'
 'Serve the grilled lettuce with the dressing and tomatoes, and season with salt and pepper.']","low_calorie,low_carb,salad,dinner,lunch,vegetables,vegetarian,sugar_free,gluten_free,50kcal,easy"
2023-01-15,783,23,22,Ceviche,"This fruity Ceviche tastes delicious on top of a crunchy tortilla. It's a light and refreshing snack. Tip: No need to throw out the leftover edge of the tortilla. You can cut it into small pieces, coat with peanut oil, sprinkle with salt and also bake in the oven for a crispy snack!",40,easy,9,"['Preheat the oven to 180°C / 360°F.'
 'Cut small circles out of the tortillas, coat both sides of the circles with peanut oil and sprinkle with salt.'
 'Place the tortillas onto a baking sheet lined with baking paper. Bake for 10 minutes, flipping the tortillas after 5 minutes.'
 'Place the cod on a baking sheet lined with baking paper and cook on the middle rack for approx. 20 minutes.'
 'In the meantime, quarter the tomatoes, peel and chop the onion, grate the carrot and finely chop the cilantro.'
 'Cut the avocado in half, remove the pit, peel and mash with a fork.'
 'Combine the mashed avocado with half of the lime juice. Season with salt and pepper and mix well.'
 'Use a fork to tear apart the cooked cod filet and then combine with the tomatoes, onions, carrots, salt, pepper, cilantro and remaining lime juice.'
 'Top the baked tortillas with the avocado cream and salad.']","dinner,lunch,lactose_free,sugar_free,vegetables,fish,salad,pescatarian,400kcal,easy"
2023-01-30,1145,56,45,Cauliflower Lentil Soup,"This creamy Cauliflower Lentil Soup is super quick to make and, thanks to the curry paste, only requires a little salt and pepper as seasoning. Despite the few seasonings, it's packed with flavor! You can also freeze any leftovers and enjoy a nice, warm soup even when you're short on time.",35,easy,8,"['Preheat the oven to 320°F (160°C).'
 'Remove the leaves from the cauliflower and separate into florets.'
 'In a casserole dish, combine ¼ of the florets with 1⁄2 the olive oil. Season with salt and pepper and cook on the middle rack of the oven for approx. 20 minutes.'
 'In the meantime, place the remaining olive oil, the lentils and the remaining cauliflower in a pot.'
 'Pour the water into the pot and mix in the curry paste. Season with salt and pepper and simmer over medium heat for approx. 25 minutes.'
 'Squeeze the juice from the lemon.'
 'Use an immersion blender to purée the soup until creamy and mix in the lemon juice.'
 'Garnish the soup with the oven-roasted cauliflower and serve.']","low_calorie,dinner,lunch,vegan,vegetarian,gluten_free,lactose_free,sugar_free,clean_eating,detox,soup,vegetables,few_ingredients,200kcal,easy"
2023-01-05,979,16,15,Asian Eggplant Salad,Our Asian Eggplant Salad can be enjoyed warm or cold and will taste delicious even if you're not an eggplant fan. The mint and lemon juice give it a nice and fruity kick. Tip: Cook the onions until they are slightly brown. This will give the salad a roasted flavor.,30,easy,7,"['Bring the vegetable broth to a boil. Rinse the quinoa in a strainer with hot water  and then add to the pot of vegetable broth. Let simmer over medium heat for approx. 20 minutes.'
 'In the meantime, cut the eggplant into small cubes, peel and diagonally slice the carrot, and cut the green onions into rings.'
 'Peel the onion and garlic and cut the onion into small cubes.'
 'Heat the olive oil in a pan and sauté the onions for approx. 2 minutes.'
 'Crush and add the garlic, mix well and then add the eggplant and carrot slices. Cook for approx. 5 minutes, stirring occasionally.'
 'Finely chop the parsley and mint. Combine the two herbs together with the green onions, lemon juice and date syrup and mix into the pan. Season with salt, pepper and crushed red pepper.'
 'Transfer the quinoa onto plates and top with the eggplant mixture.']","dinner,lunch,vegan,vegetarian,gluten_free,lactose_free,vegetables,salad,on_the_go,500kcal,easy"
