,game,nth_game,0
0,102: com.asselin.android.fortunelegends,1,39534
1,102: com.asselin.android.fortunelegends,2,4229
2,102: com.asselin.android.fortunelegends,3,886
3,102: com.asselin.android.fortunelegends,4,174
4,102: com.asselin.android.fortunelegends,5,16
5,102: com.asselin.android.jackpotlegends,1,24986
6,102: com.asselin.android.jackpotlegends,2,4740
7,102: com.asselin.android.jackpotlegends,3,1076
8,102: com.asselin.android.jackpotlegends,4,276
9,102: com.asselin.android.jackpotlegends,5,28
10,102: com.asselin.android.luckylegends,1,46654
11,102: com.asselin.android.luckylegends,2,5131
12,102: com.asselin.android.luckylegends,3,849
13,102: com.asselin.android.luckylegends,4,144
14,102: com.asselin.android.luckylegends,5,21
15,102: com.asselin.android.wildlegends,1,39193
16,102: com.asselin.android.wildlegends,2,5763
17,102: com.asselin.android.wildlegends,3,982
18,102: com.asselin.android.wildlegends,4,190
19,102: com.asselin.android.wildlegends,5,18
20,102: com.asselin.samsung.luckylegends,1,15447
21,102: com.asselin.samsung.luckylegends,2,106
22,102: com.asselin.samsung.luckylegends,3,23
23,102: com.asselin.samsung.luckylegends,4,3
24,102: com.asselin.samsung.luckylegends,5,5
25,102: com.keenknowledge.dashblitz,1,8519
26,102: com.keenknowledge.dashblitz,2,3118
27,102: com.keenknowledge.dashblitz,3,172
28,102: com.keenknowledge.dashblitz,4,7
29,102: com.keenknowledge.dashblitz,5,1
30,102: com.mindmystic.luckyjoyance,1,1
31,102: com.prudentowl.lavishluck,1,5342
32,102: com.prudentowl.lavishluck,2,1555
33,102: com.prudentowl.lavishluck,3,724
34,102: com.prudentowl.lavishluck,4,380
35,102: com.prudentowl.lavishluck,5,73
36,102: com.prudentowl.lavishluckcasino,1,9
37,102: com.prudentowl.lavishluckcasino,2,1
38,102: com.prudentprophet.android.dreamfest,1,430
39,102: com.prudentprophet.android.dreamfest,2,409
40,102: com.prudentprophet.android.dreamfest,3,256
41,102: com.prudentprophet.android.dreamfest,4,189
42,102: com.prudentprophet.android.dreamfest,5,97
43,102: com.prudentprophet.android.gildedriches,1,421
44,102: com.prudentprophet.android.gildedriches,2,404
45,102: com.prudentprophet.android.gildedriches,3,271
46,102: com.prudentprophet.android.gildedriches,4,170
47,102: com.prudentprophet.android.gildedriches,5,86
48,102: com.prudentprophet.jackpotspinning777,1,45384
49,102: com.prudentprophet.jackpotspinning777,2,1900
50,102: com.prudentprophet.jackpotspinning777,3,252
51,102: com.prudentprophet.jackpotspinning777,4,6
52,102: com.prudentprophet.jackpotspinning777,5,2
53,102: com.shrewdscholar.mirthvegas,1,31463
54,102: com.shrewdscholar.mirthvegas,2,6651
55,102: com.shrewdscholar.mirthvegas,3,2200
56,102: com.shrewdscholar.mirthvegas,4,27
57,102: com.shrewdscholar.mirthvegas,5,11
58,102: com.wisdomwalk.samsung.winningroyale,1,6767
59,102: com.wisdomwalk.samsung.winningroyale,2,1517
60,102: com.wisdomwalk.samsung.winningroyale,3,411
61,102: com.wisdomwalk.samsung.winningroyale,4,119
62,102: com.wisdomwalk.samsung.winningroyale,5,52
