date,platform,marketing_channel,campaign_id,country,impressions,clicks,app_installs,conversions,marketing_spend_euro,revenue_euro
2023-11-01,android,Channel A,12347578214,CH,0,0,3,1,0.0,12.94
2023-11-01,android,Channel A,12347578214,FR,70732,1116,469,37,688.56,915.76
2023-11-01,android,Channel A,12347578214,IT,0,0,1,0,0.0,0.0
2023-11-01,android,Channel A,12579890294,NL,17173,356,145,7,279.76,190.2
2023-11-01,android,Channel A,12581196474,FR,0,0,1,0,0.0,0.0
2023-11-01,android,Channel A,12733473590,AT,11410,175,87,8,208.08,297.95
2023-11-01,android,Channel A,12733473590,DE,0,0,1,0,0.0,0.0
2023-11-01,android,Channel A,12804450204,DE,5524,745,0,0,162.72,0.0
2023-11-01,android,Channel A,13570876685,AT,0,0,1,0,0.0,0.0
2023-11-01,android,Channel A,13570876685,DE,75196,1447,699,67,1498.32,2220.7
2023-11-01,android,Channel A,2049551966,CH,0,0,1,1,0.0,13.11
2023-11-01,android,Channel A,20676600717,CH,4907,71,32,5,84.03,193.3
2023-11-01,android,Channel B,6154573222815,AT,152,0,0,0,2.24,0.0
2023-11-01,android,Channel B,6154573222815,CH,55,0,0,0,1.81,0.0
2023-11-01,android,Channel B,6154573222815,DE,941,4,0,0,22.02,0.0
2023-11-01,android,Channel B,6318246682215,US,3219,23,9,0,46.18,0.0
2023-11-01,android,Channel B,6349421515615,AT,32407,101,43,1,136.52,49.91
2023-11-01,android,Channel B,6349421515615,CH,6917,44,24,0,53.11,0.0
2023-11-01,android,Channel B,6349421515615,DE,146794,621,365,16,875.17,630.06
2023-11-01,android,Channel B,6349421515615,NL,0,0,1,0,0.0,0.0
2023-11-01,android,Channel B,6411365672615,US,1615,10,9,0,15.92,0.0
2023-11-01,android,Channel B,6492364605815,DE,0,0,3,0,0.0,0.0
2023-11-01,android,Channel D,funnelplus,DE,0,0,0,0,6.14,0.0
2023-11-01,android,Channel E,1763164645253137,AT,11151,63,3,0,12.42,0.0
2023-11-01,android,Channel E,1763164645253137,CH,1726,15,1,0,2.67,0.0
2023-11-01,android,Channel E,1763164645253137,DE,49791,323,32,0,66.04,0.0
2023-11-01,android,Channel E,1763164645253137,FR,82,3,0,0,0.0,0.0
2023-11-01,android,Channel E,1763164645253137,IT,54,0,0,0,0.0,0.0
2023-11-01,android,Channel E,1763164645253137,NL,21,0,0,0,0.0,0.0
2023-11-01,android,Channel E,1763164645253137,US,4,161,0,0,0.0,0.0
2023-11-01,android,Channel E,1769120303953937,AT,26832,34,4,1,40.5,26.11
2023-11-01,android,Channel E,1769120303953937,CH,10271,15,3,0,21.76,0.0
2023-11-01,android,Channel E,1769120303953937,DE,230437,284,72,11,444.76,350.31
2023-11-01,android,Channel E,1769120303953937,FR,363,1,0,0,0.0,0.0
2023-11-01,android,Channel E,1769120303953937,IT,90,0,0,0,0.0,0.0
2023-11-01,android,Channel E,1769120303953937,NL,130,0,0,0,0.0,0.0
2023-11-01,android,Channel E,1769120303953937,US,22,225,0,0,0.0,0.0
2023-11-01,ios,Channel A,20367976937,US,84567,152,0,0,263.17,0.0
2023-11-01,ios,Channel A,20367976937,unknown,0,0,30,0,0.0,0.0
2023-11-01,ios,Channel A,20484331173,unknown,0,0,1,0,0.0,0.0
2023-11-01,ios,Channel B,6322411746015,unknown,0,0,3,0,0.0,0.0
2023-11-01,ios,Channel B,6328185982015,NL,75516,387,1,1,509.75,39.99
2023-11-01,ios,Channel B,6492364605815,AT,17699,42,0,0,79.64,0.0
2023-11-01,ios,Channel B,6492364605815,CH,32137,98,0,0,268.09,0.0
2023-11-01,ios,Channel B,6492364605815,DE,81595,279,0,0,483.76,0.0
2023-11-01,ios,Channel B,6519038436815,AT,16815,54,0,0,62.76,0.0
2023-11-01,ios,Channel B,6519038436815,CH,24394,74,0,0,192.28,0.0
2023-11-01,ios,Channel B,6519038436815,DE,76121,210,0,0,359.25,0.0
2023-11-01,ios,Channel B,6519038436815,unknown,0,0,57,7,0.0,225.48
2023-11-01,ios,Channel C,1023512996,AT,0,0,1,0,0.0,0.0
2023-11-01,ios,Channel C,1023512996,CH,0,0,1,0,0.0,0.0
2023-11-01,ios,Channel C,1023512996,DE,0,0,1,0,0.0,0.0
2023-11-01,ios,Channel C,1023512996,FR,0,0,1,0,0.0,0.0
2023-11-01,ios,Channel C,1023512996,IT,1881,221,119,8,156.8,165.44
2023-11-01,ios,Channel C,1023512996,US,0,0,1,0,0.0,0.0
2023-11-01,ios,Channel C,1023540194,NL,41,1,2,0,1.58,0.0
2023-11-01,ios,Channel C,1023567379,CH,341,113,61,5,180.24,371.17
2023-11-01,ios,Channel C,1023567379,DE,0,0,1,0,0.0,0.0
2023-11-01,ios,Channel C,1023567379,FR,0,0,1,0,0.0,0.0
2023-11-01,ios,Channel C,1023570237,AT,295,12,2,1,15.15,25.0
2023-11-01,ios,Channel C,1023570237,DE,797,34,7,1,48.43,25.32
2023-11-01,ios,Channel C,1023584091,IT,586,222,113,11,78.48,150.58
2023-11-01,ios,Channel C,1023584319,CH,20,1,0,0,0.29,0.0
2023-11-01,ios,Channel C,1023585396,US,1456,150,86,5,306.24,153.02
2023-11-01,ios,Channel C,1023636270,FR,1704,224,131,10,232.72,280.35
2023-11-01,ios,Channel C,1023636271,NL,185,2,1,1,1.87,39.94
2023-11-01,ios,Channel C,1023648253,CH,0,0,1,0,0.0,0.0
2023-11-01,ios,Channel C,1023648253,FR,483,150,95,10,112.54,199.67
2023-11-01,ios,Channel C,1023655231,DE,0,0,1,1,0.0,37.83
2023-11-01,ios,Channel C,1023655231,FR,0,0,1,0,0.0,0.0
